id	item group id	title	description	link	condition	price	availability	image link	gtin	mpn	brand	google product category	size	color	age group	gender
1348-2xl	1348	"Hang Loose Sweatshirt, Skeleton Hang Loose Crop Sweatshirt, Skeleton Hand Sweatshirt, Skeleton Shaka, Skeleton Hand, Halloween Sweatshirt"	"Hang Loose Crop Sweatshirt, Skeleton Hang Loose Crop Sweatshirt, Skeleton Hand Crop Sweatshirt, Skeleton Shaka, Skeleton Hand, Halloween Crop Sweatshirt

------------------------------------------

Hang Loose Women’s Crop Sweatshirt.

Welcome to Red Surge!

This listing is for ONE (1) ultra soft women’s crop sweatshirt that features a skeleton hand showing the ""hang loose"" position.

• 52% airlume combed and ring-spun cotton, 48% poly fleece
• Fabric weight: 6.5 oz/yd² (220.39 g/m²)
• Dyed-to-match drawstrings
• Dropped shoulder cut
• Cropped body with a raw hem

DESIGN COLOR: BLACK

------------------------------------------

Let fashion take over your wardrobe with this great statement piece. The trendy raw hem and matching drawstrings means that this hoodie is bound to become a true favorite.

This product is made especially for you as soon as you place an order, which is why it takes us a bit longer to deliver it to you. Making products on demand instead of in bulk helps reduce overproduction, so thank you for making thoughtful purchasing decisions!"	https://redsurgeapparel.com/product/skeleton-shaka-crop-sweatshirt/	new	USD 43.50	in stock	https://redsurgeapparel.com/wp-content/uploads/2023/09/womens-cropped-hoodie-black-front-6504a1c219f3c.jpg		6504A209733ED_2XL	Red Surge	Apparel & Accessories > Clothing	2XL	Black	adult	female
1348-xl	1348	"Hang Loose Sweatshirt, Skeleton Hang Loose Crop Sweatshirt, Skeleton Hand Sweatshirt, Skeleton Shaka, Skeleton Hand, Halloween Sweatshirt"	"Hang Loose Crop Sweatshirt, Skeleton Hang Loose Crop Sweatshirt, Skeleton Hand Crop Sweatshirt, Skeleton Shaka, Skeleton Hand, Halloween Crop Sweatshirt

------------------------------------------

Hang Loose Women’s Crop Sweatshirt.

Welcome to Red Surge!

This listing is for ONE (1) ultra soft women’s crop sweatshirt that features a skeleton hand showing the ""hang loose"" position.

• 52% airlume combed and ring-spun cotton, 48% poly fleece
• Fabric weight: 6.5 oz/yd² (220.39 g/m²)
• Dyed-to-match drawstrings
• Dropped shoulder cut
• Cropped body with a raw hem

DESIGN COLOR: BLACK

------------------------------------------

Let fashion take over your wardrobe with this great statement piece. The trendy raw hem and matching drawstrings means that this hoodie is bound to become a true favorite.

This product is made especially for you as soon as you place an order, which is why it takes us a bit longer to deliver it to you. Making products on demand instead of in bulk helps reduce overproduction, so thank you for making thoughtful purchasing decisions!"	https://redsurgeapparel.com/product/skeleton-shaka-crop-sweatshirt/	new	USD 41.00	in stock	https://redsurgeapparel.com/wp-content/uploads/2023/09/womens-cropped-hoodie-black-front-6504a1c219f3c.jpg		6504A209733ED_XL	Red Surge	Apparel & Accessories > Clothing	XL	Black	adult	female
1348-l	1348	"Hang Loose Sweatshirt, Skeleton Hang Loose Crop Sweatshirt, Skeleton Hand Sweatshirt, Skeleton Shaka, Skeleton Hand, Halloween Sweatshirt"	"Hang Loose Crop Sweatshirt, Skeleton Hang Loose Crop Sweatshirt, Skeleton Hand Crop Sweatshirt, Skeleton Shaka, Skeleton Hand, Halloween Crop Sweatshirt

------------------------------------------

Hang Loose Women’s Crop Sweatshirt.

Welcome to Red Surge!

This listing is for ONE (1) ultra soft women’s crop sweatshirt that features a skeleton hand showing the ""hang loose"" position.

• 52% airlume combed and ring-spun cotton, 48% poly fleece
• Fabric weight: 6.5 oz/yd² (220.39 g/m²)
• Dyed-to-match drawstrings
• Dropped shoulder cut
• Cropped body with a raw hem

DESIGN COLOR: BLACK

------------------------------------------

Let fashion take over your wardrobe with this great statement piece. The trendy raw hem and matching drawstrings means that this hoodie is bound to become a true favorite.

This product is made especially for you as soon as you place an order, which is why it takes us a bit longer to deliver it to you. Making products on demand instead of in bulk helps reduce overproduction, so thank you for making thoughtful purchasing decisions!"	https://redsurgeapparel.com/product/skeleton-shaka-crop-sweatshirt/	new	USD 41.00	in stock	https://redsurgeapparel.com/wp-content/uploads/2023/09/womens-cropped-hoodie-black-front-6504a1c219f3c.jpg		6504A209733ED_L	Red Surge	Apparel & Accessories > Clothing	L	Black	adult	female
1348-m	1348	"Hang Loose Sweatshirt, Skeleton Hang Loose Crop Sweatshirt, Skeleton Hand Sweatshirt, Skeleton Shaka, Skeleton Hand, Halloween Sweatshirt"	"Hang Loose Crop Sweatshirt, Skeleton Hang Loose Crop Sweatshirt, Skeleton Hand Crop Sweatshirt, Skeleton Shaka, Skeleton Hand, Halloween Crop Sweatshirt

------------------------------------------

Hang Loose Women’s Crop Sweatshirt.

Welcome to Red Surge!

This listing is for ONE (1) ultra soft women’s crop sweatshirt that features a skeleton hand showing the ""hang loose"" position.

• 52% airlume combed and ring-spun cotton, 48% poly fleece
• Fabric weight: 6.5 oz/yd² (220.39 g/m²)
• Dyed-to-match drawstrings
• Dropped shoulder cut
• Cropped body with a raw hem

DESIGN COLOR: BLACK

------------------------------------------

Let fashion take over your wardrobe with this great statement piece. The trendy raw hem and matching drawstrings means that this hoodie is bound to become a true favorite.

This product is made especially for you as soon as you place an order, which is why it takes us a bit longer to deliver it to you. Making products on demand instead of in bulk helps reduce overproduction, so thank you for making thoughtful purchasing decisions!"	https://redsurgeapparel.com/product/skeleton-shaka-crop-sweatshirt/	new	USD 41.00	in stock	https://redsurgeapparel.com/wp-content/uploads/2023/09/womens-cropped-hoodie-black-front-6504a1c219f3c.jpg		6504A209733ED_M	Red Surge	Apparel & Accessories > Clothing	M	Black	adult	female
1348-s	1348	"Hang Loose Sweatshirt, Skeleton Hang Loose Crop Sweatshirt, Skeleton Hand Sweatshirt, Skeleton Shaka, Skeleton Hand, Halloween Sweatshirt"	"Hang Loose Crop Sweatshirt, Skeleton Hang Loose Crop Sweatshirt, Skeleton Hand Crop Sweatshirt, Skeleton Shaka, Skeleton Hand, Halloween Crop Sweatshirt

------------------------------------------

Hang Loose Women’s Crop Sweatshirt.

Welcome to Red Surge!

This listing is for ONE (1) ultra soft women’s crop sweatshirt that features a skeleton hand showing the ""hang loose"" position.

• 52% airlume combed and ring-spun cotton, 48% poly fleece
• Fabric weight: 6.5 oz/yd² (220.39 g/m²)
• Dyed-to-match drawstrings
• Dropped shoulder cut
• Cropped body with a raw hem

DESIGN COLOR: BLACK

------------------------------------------

Let fashion take over your wardrobe with this great statement piece. The trendy raw hem and matching drawstrings means that this hoodie is bound to become a true favorite.

This product is made especially for you as soon as you place an order, which is why it takes us a bit longer to deliver it to you. Making products on demand instead of in bulk helps reduce overproduction, so thank you for making thoughtful purchasing decisions!"	https://redsurgeapparel.com/product/skeleton-shaka-crop-sweatshirt/	new	USD 41.00	in stock	https://redsurgeapparel.com/wp-content/uploads/2023/09/womens-cropped-hoodie-black-front-6504a1c219f3c.jpg		6504A209733ED_S	Red Surge	Apparel & Accessories > Clothing	S	Black	adult	female
1368-xl	1368	"Halloween Mummy I Woke Up Like This Sweatshirt, Halloween Sweatshirt, Halloween I Woke Up Like This Sweatshirt"	"A Halloween mummy I woke up like this unisex sweatshirt. A sturdy and warm sweatshirt bound to keep you warm in the colder months. A pre-shrunk, classic fit sweater that's made with air-jet spun yarn for a soft feel and reduced pilling.

• 50% cotton, 50% polyester
• Pre-shrunk
• Classic fit
• 1x1 athletic rib knit collar with spandex
• Air-jet spun yarn with a soft feel and reduced pilling
• Double-needle stitched collar, shoulders, armholes, cuffs, and hem

This product is made especially for you as soon as you place an order, which is why it takes us a bit longer to deliver it to you. Making products on demand instead of in bulk helps reduce overproduction, so thank you for making thoughtful purchasing decisions!"	https://redsurgeapparel.com/product/halloween-mummy-i-woke-up-like-this-sweatshirt-halloween-sweatshirt-halloween-i-woke-up-like-this-sweatshirt/	new	USD 23.50	in stock	https://redsurgeapparel.com/wp-content/uploads/2023/09/unisex-crew-neck-sweatshirt-black-front-6508ba290ec20.jpg		6508BFF67F100_XL	Red Surge	Apparel & Accessories > Clothing	XL	Black	adult	unisex
1368-l	1368	"Halloween Mummy I Woke Up Like This Sweatshirt, Halloween Sweatshirt, Halloween I Woke Up Like This Sweatshirt"	"A Halloween mummy I woke up like this unisex sweatshirt. A sturdy and warm sweatshirt bound to keep you warm in the colder months. A pre-shrunk, classic fit sweater that's made with air-jet spun yarn for a soft feel and reduced pilling.

• 50% cotton, 50% polyester
• Pre-shrunk
• Classic fit
• 1x1 athletic rib knit collar with spandex
• Air-jet spun yarn with a soft feel and reduced pilling
• Double-needle stitched collar, shoulders, armholes, cuffs, and hem

This product is made especially for you as soon as you place an order, which is why it takes us a bit longer to deliver it to you. Making products on demand instead of in bulk helps reduce overproduction, so thank you for making thoughtful purchasing decisions!"	https://redsurgeapparel.com/product/halloween-mummy-i-woke-up-like-this-sweatshirt-halloween-sweatshirt-halloween-i-woke-up-like-this-sweatshirt/	new	USD 23.50	in stock	https://redsurgeapparel.com/wp-content/uploads/2023/09/unisex-crew-neck-sweatshirt-black-front-6508ba290ec20.jpg		6508BFF67F100_L	Red Surge	Apparel & Accessories > Clothing	L	Black	adult	unisex
1368-m	1368	"Halloween Mummy I Woke Up Like This Sweatshirt, Halloween Sweatshirt, Halloween I Woke Up Like This Sweatshirt"	"A Halloween mummy I woke up like this unisex sweatshirt. A sturdy and warm sweatshirt bound to keep you warm in the colder months. A pre-shrunk, classic fit sweater that's made with air-jet spun yarn for a soft feel and reduced pilling.

• 50% cotton, 50% polyester
• Pre-shrunk
• Classic fit
• 1x1 athletic rib knit collar with spandex
• Air-jet spun yarn with a soft feel and reduced pilling
• Double-needle stitched collar, shoulders, armholes, cuffs, and hem

This product is made especially for you as soon as you place an order, which is why it takes us a bit longer to deliver it to you. Making products on demand instead of in bulk helps reduce overproduction, so thank you for making thoughtful purchasing decisions!"	https://redsurgeapparel.com/product/halloween-mummy-i-woke-up-like-this-sweatshirt-halloween-sweatshirt-halloween-i-woke-up-like-this-sweatshirt/	new	USD 23.50	in stock	https://redsurgeapparel.com/wp-content/uploads/2023/09/unisex-crew-neck-sweatshirt-black-front-6508ba290ec20.jpg		6508BFF67F100_M	Red Surge	Apparel & Accessories > Clothing	M	Black	adult	unisex
1368-s	1368	"Halloween Mummy I Woke Up Like This Sweatshirt, Halloween Sweatshirt, Halloween I Woke Up Like This Sweatshirt"	"A Halloween mummy I woke up like this unisex sweatshirt. A sturdy and warm sweatshirt bound to keep you warm in the colder months. A pre-shrunk, classic fit sweater that's made with air-jet spun yarn for a soft feel and reduced pilling.

• 50% cotton, 50% polyester
• Pre-shrunk
• Classic fit
• 1x1 athletic rib knit collar with spandex
• Air-jet spun yarn with a soft feel and reduced pilling
• Double-needle stitched collar, shoulders, armholes, cuffs, and hem

This product is made especially for you as soon as you place an order, which is why it takes us a bit longer to deliver it to you. Making products on demand instead of in bulk helps reduce overproduction, so thank you for making thoughtful purchasing decisions!"	https://redsurgeapparel.com/product/halloween-mummy-i-woke-up-like-this-sweatshirt-halloween-sweatshirt-halloween-i-woke-up-like-this-sweatshirt/	new	USD 23.50	in stock	https://redsurgeapparel.com/wp-content/uploads/2023/09/unisex-crew-neck-sweatshirt-black-front-6508ba290ec20.jpg		6508BFF67F100_S	Red Surge	Apparel & Accessories > Clothing	S	Black	adult	unisex
1445-xl	1445	Skateboarding Ghost Unisex Hoodie - Stylish and Spooky Apparel for Skateboard Enthusiasts	"Get ready to roll with our Skateboarding Ghost Unisex Hoodie! Whether you're an avid skateboarder or just a fan of the spooky and stylish, this hoodie is the perfect addition to your wardrobe.

Designed for both men and women, this comfortable and cozy hoodie features a unique graphic of a ghost effortlessly gliding on a skateboard. The high-quality print is durable and long-lasting, ensuring that your spooky skater stays vibrant wash after wash.

Made from a blend of soft, breathable materials, this hoodie is perfect for keeping you warm during cool skate sessions or as a stylish layer for your everyday outfits. It comes in various sizes, so you can find the perfect fit that suits your style.

With its eye-catching design and unisex appeal, our Skateboarding Ghost Unisex Hoodie is not only a great choice for your own collection but also makes for an excellent gift for skateboard enthusiasts and fans of the paranormal. Embrace your love for skateboarding and the supernatural with this one-of-a-kind hoodie.

Order yours today and skate in style with our Skateboarding Ghost Unisex Hoodie! Whether you're hitting the ramps or just hanging out, this hoodie will keep you looking cool and comfortable. Don't miss out on this unique and spooky fashion statement.

Who knew that the softest hoodie you'll ever own comes with such a cool design. You won't regret buying this classic streetwear piece of apparel with a convenient pouch pocket and warm hood for chilly evenings.

• 100% cotton face
• 65% ring-spun cotton, 35% polyester
• Front pouch pocket
• Self-fabric patch on the back
• Matching flat drawstrings
• 3-panel hood
• Blank product sourced from Pakistan

This product is made especially for you as soon as you place an order, which is why it takes us a bit longer to deliver it to you. Making products on demand instead of in bulk helps reduce overproduction, so thank you for making thoughtful purchasing decisions!"	https://redsurgeapparel.com/product/skateboarding-ghost-unisex-hoodie/	new	USD 31.00	in stock	https://redsurgeapparel.com/wp-content/uploads/2023/09/unisex-premium-hoodie-charcoal-heather-front-6511a734df12f.jpg		6511A739A1709_XL	Red Surge	Apparel & Accessories > Clothing	XL	Charcoal	adult	unisex
